Party,VotePosition
D,Yea
R,Nay
D,Yea
R,Nay
D,Yea
R,Nay
D,Yea
R,Nay
R,Nay
D,Yea
R,Nay
D,Yea
R,Nay
D,Yea
D,Yea
D,Yea
R,Yea
R,Yea
D,Yea
R,Nay
D,Yea
R,Nay
R,Nay
R,Nay
R,Nay
R,Nay
D,Yea
D,Yea
R,Nay
D,Yea
R,Nay
D,Yea
R,Nay
R,Nay
R,Nay
D,Yea
R,Nay
D,Yea
D,Yea
D,Yea
R,Nay
R,Nay
R,Nay
R,Nay
D,Yea
D,Yea
R,Nay
I,Yea
D,Yea
R,Not Voting
D,Yea
R,Nay
D,Yea
R,Nay
D,Yea
D,Yea
R,Nay
R,Nay
D,Yea
D,Yea
R,Nay
R,Nay
D,Yea
D,Yea
D,Yea
D,Yea
R,Nay
D,Yea
R,Nay
D,Yea
R,Nay
R,Nay
D,Yea
R,Nay
R,Nay
I,Yea
R,Nay
D,Yea
D,Yea
R,Nay
R,Nay
D,Yea
R,Nay
D,Yea
D,Yea
D,Yea
R,Nay
D,Yea
R,Nay
R,Nay
R,Nay
R,Nay
D,Yea
D,Yea
D,Yea
D,Yea
D,Yea
R,Nay
D,Yea
R,Nay
